index,rank,word,frequency,percentile,distance,probability,distance_probability
231,6669,"Moldavian",0,3.3406,-2.422376,0.00009758,-7.36501467
232,6668,"lingual",0,3.3551,-2.422376,0.00009758,-7.36501467
233,6667,"prebiotic",0,3.3696,-2.422376,0.00009758,-7.36501467
234,6666,"polygyny",0,3.3841,-2.422376,0.00009758,-7.36501467
235,6665,"cryptographic",0,3.3986,-2.422376,0.00009758,-7.36501467
236,6664,"egad",0,3.4130,-2.422376,0.00009758,-7.36501467
237,6663,"biometrics",0,3.4275,-2.422376,0.00009758,-7.36501467
238,6662,"rifling",0,3.4420,-2.422376,0.00009758,-7.36501467
239,6661,"petrous",0,3.4565,-2.422376,0.00009758,-7.36501467
240,6660,"injera",0,3.4710,-2.422376,0.00009758,-7.36501467
241,6659,"hygroscopic",0,3.4855,-2.422376,0.00009758,-7.36501467
242,6658,"apostolate",0,3.5000,-2.422376,0.00009758,-7.36501467
243,6657,"benne",0,3.5145,-2.422376,0.00009758,-7.36501467
244,6656,"subspace",0,3.5290,-2.422376,0.00009758,-7.36501467
245,6655,"friary",0,3.5435,-2.422376,0.00009758,-7.36501467
246,6654,"embryonal",0,3.5580,-2.333223,0.00009932,-7.36412314
247,6653,"resistivity",0,3.5725,-2.333223,0.00009932,-7.36412314
248,6652,"orbital",0,3.5870,-2.333223,0.00009932,-7.36412314
249,6651,"rata",0,3.6014,-2.333223,0.00009932,-7.36412314
250,6650,"philology",0,3.6159,-2.333223,0.00009932,-7.36412314
251,6649,"Thracian",0,3.6304,-2.333223,0.00009932,-7.36412314
252,6648,"expiratory",0,3.6449,-2.333223,0.00009932,-7.36412314
253,6647,"mujahidin",0,3.6594,-2.333223,0.00009932,-7.36412314
254,6646,"paramagnetic",0,3.6739,-2.333223,0.00009932,-7.36412314
255,6645,"tricorder",0,3.6884,-2.333223,0.00009932,-7.36412314
256,6644,"mathematic",0,3.7029,-2.333223,0.00009932,-7.36412314
257,6643,"webpage",0,3.7174,-2.333223,0.00009932,-7.36412314
258,6642,"hadrosaur",0,3.7319,-2.333223,0.00009932,-7.36412314
259,6641,"zoonotic",0,3.7464,-2.333223,0.00009932,-7.36412314
260,6640,"franchisor",0,3.7609,-2.333223,0.00009932,-7.36412314
